	erytrocyty	trombocyty	weight	name	hbver	ssn	relationship	er-cv	smoker	indicator	hematokrit	leukocyty	alp	hemoglobin	ast	alt	etytr
21	6.36231	7.75577	59.37873	Cody Mcconnell	5.88308	604-56-9185	nop	49.46908	N	1.00000	7.74018	3.46060	46.56824	8.04716	63.18749	1.21799	5.06378
22	6.14052	6.76834	24.26204	Wayne Herrera	5.81891	096-95-5593	separated	71.49007	no	1.00000	7.40192	8.18988	83.26868	6.58073	78.82400	1.37429	6.32932
23	5.50281	7.52641	67.76788	Dan Russell	7.05059	702-80-6604	divoced	59.68909	no	0.00000	6.91029	8.70507	54.69540	7.58012	81.68523	1.17325	5.28603
24	8.28280	5.80969	99.63077	Jessica Butler	8.36195	065-74-6173	married	49.12498	yes	0.00000	6.43358	8.16795	71.25799	7.17874	81.84626	2.88044	8.18170
25	5.68208	7.45825	62.96255	Tanya Guerrero	5.63082	691-70-9100	single	42.01947	yes	1.00000	5.84613	7.96111	52.44904	4.97236	81.90266	0.74935	6.72671
26	6.78214	7.92204	64.78399	Kimberly Scott PhD	5.81851	264-36-8583	divoced	30.42913	yes	1.00000	7.49572	8.87596	50.21063	7.89628	69.89183	1.59834	8.76019
27	5.76153	6.28773	23.97463	Claudia Diaz	7.64544	480-65-3609	widowed	69.82451	yes	0.00000	6.22425	8.03731	15.91646	9.44561	71.84617	1.36740	6.22626
28	6.52149	8.20405	28.40679	Kenneth Cortez	10.81867	791-37-2415	single	46.00381	no	1.00000	6.57872	4.30817	52.43895	7.64134	70.37658	1.14902	4.67423
29	8.28213	7.85279	81.36285	Whitney Malone	7.20122	769-82-8978	single	33.01842	Y	1.00000	8.00599	5.37631	15.69642	8.99428	74.69209	2.33082	5.23076
30	4.03070	5.74606	58.78617	Antonio Jennings	4.61312	050-38-4953	single	44.92233	Y	1.00000	6.24072	6.68081	89.58539	6.30503	80.14822	0.80763	8.23358
31	7.69896	7.94520	54.21042	Amanda Smith	8.27699	597-85-4275	nop	42.09682	yes	0.00000	8.81699	8.59299	63.64240	7.39350	73.22961	1.76533	7.96196
32	12.04718	8.37986	36.62645	Michelle Jenkins	6.80969	612-96-6783	single	55.78741	no	1.00000	5.65399	8.93264	21.29075	8.61406	73.51222	83.28130	7.19690
33	6.93660	6.80079	94.25033	David Jackson	8.45934	597-01-4847	married	50.09231	no	1.00000	7.83907	4.34663	40.37079	4.45391	74.07068	1.42957	5.22606
34	9.80826	8.35843	83.87161	Brandon Campbell	9.82948	590-05-0576	single	35.17266	no	0.00000	6.59097	6.82774	69.75594	5.37655	72.41882	9.68490	8.87129
35	9.06763	5.90046	-19.96289	Barbara Bryant	9.87701	652-43-9251	married	53.45143	no	0.00000	6.47939	9.14911	84.23434	6.77258	64.75364	5.30535	10.44718
36	6.03418	5.15612	122.84961	Angela Saunders	6.52964	124-14-3928	married	57.76351	Y	1.00000	6.97887	8.86671	58.52417	4.96561	77.76489	0.80385	6.94102
37	4.69459	6.55478	51.41912	Mathew Hill	8.99779	353-92-8625	nop	43.76818	no	0.00000	8.20180	6.96615	58.50841	7.53980	69.27771	0.57518	7.25930
38	7.12174	7.08744	17.91518	Rebecca Wood	7.04596	787-30-5330	married	56.77771	no	0.00000	6.35617	9.22802	83.79018	6.10514	81.73431	1.59756	4.69247
39	8.82052		12.75345	James Cortez	8.08036	719-21-4346	married	57.75352	no	1.00000	4.24912	7.42083	56.47896	7.76511	71.85590	3.77195	6.41461
40	6.49039	6.65087	101.20289	Susan Pierce DVM	7.40158	388-94-4531	married	53.03267	no	1.00000	6.46171	9.12238	35.67076	8.03050	72.82236	0.76969	10.50134
41	5.79581	6.82513	80.79167	Nathan Vazquez	6.32956	486-26-4727	divoced	38.16197	yes	1.00000	7.19204	8.44258	53.30008	4.75286	81.44800	1.18601	7.45302
42	6.08228	7.61036	63.28907	David Cook	8.64597	117-36-6336	divoced	61.50871	no	1.00000	6.95892	3.18195	83.66588	5.63613	73.53128	1.20117	4.53221
43	9.32776	8.47644	41.49269	Patricia Zuniga	9.97151	868-27-0056	widowed	65.53098	no	1.00000	6.72595	7.00868	6.56550	8.87425	64.77542	5.81319	6.41361
44	5.15458	6.22013	46.24650	Dr. Tracy Robbins DDS	7.24695	844-96-6270	married	54.61594	no	1.00000	7.46701	9.32437	60.38916	7.54177	77.93658	0.80955	8.96400
45	6.75855	5.68361	95.65322	Charles Mitchell	5.66661	259-17-9049	divoced	45.20514	Y	1.00000	6.21508	7.97248	63.30209	7.43990	54.61300	1.24431	9.16488
46	5.72033	7.26291	116.84071	Jennifer Johnson	5.46326	015-87-0524	divoced	55.91229	yes	1.00000	7.59237	8.24108	81.15014	6.00112	78.97108	1.37852	7.50454
47	7.41821	7.38381	84.45993	Latoya Doyle	9.76209	399-76-0812	widowed	65.77484	yes	1.00000	7.65087	4.59922	84.43101	5.83312	73.82764	1.73502	5.23769
48	5.01369	6.54729	84.57218	Tiffany Todd	7.64914	034-28-3804	widowed	53.70740	N	0.00000	6.16438	8.55453	83.87274	6.61120	78.72882	0.82450	4.98155
49	5.32410	7.02359	99.15157	Elizabeth Sexton	4.26760	748-55-2950	single	51.44776	no	1.00000	7.70455	7.26936	67.82299	7.44298	78.47734	1.17802	8.74000
50	6.56668	7.15809	23.70560	Leslie Haynes	8.31444	400-48-0845	separated	62.02995	no	0.00000	6.26231	6.93351	50.89355	7.73926	67.64299	1.27351	7.69788
51	6.98609	6.13903	97.96497	Jacob Hinton	11.59737	736-73-3007	nop	57.91917	Y	1.00000	6.64938	7.43687	61.19419	7.47887	78.47978	1.36356	6.59596
52	7.18331		136.55850	Priscilla Riggs	6.56490	612-41-9242	married	45.20680	N	1.00000	6.90980	4.08815	62.88383	7.41034	61.61467	1.68752	4.95370
53	6.47908	7.07653	52.03404	Joshua Davis	9.55834	237-74-7858	divoced	58.64610	no	1.00000	8.33139	6.73232	39.30776	8.16344	63.08633	0.88177	6.38185
54	8.57055	7.04732	79.22710	Nicole Hutchinson	11.13805	528-95-7976	married	70.77224	yes	1.00000	8.34171	5.90408	85.44552	6.66929	64.73876	3.54199	5.45596
55	8.77204	6.24280	75.31732	Cory Hawkins	10.49587	235-04-9392	married	44.98570	no	0.00000	7.28595	7.63854	19.65804	8.49884	63.86752	3.75796	10.74456
56	6.09271	6.64051	46.05998	Crystal Jones	8.35840	303-23-1346	divoced	66.24320	no	0.00000	7.37685	8.00752	71.33197	5.29002	72.49114	0.99770	6.05662
57	4.21236	6.70244	68.70803	Elizabeth Silva	6.17470	333-43-3615	divoced	59.88327	no	0.00000	6.16169	9.56755	86.96600	6.33772	79.30336	0.88203	6.03477
58	5.32894	6.51864	101.01739	Jean Brown	7.84904	434-70-8620	single	67.05888	no	0.00000	7.66913	8.54136	85.49928	6.80989	83.40506	0.50298	5.26065
59	4.54305	6.28233	81.04793	Jennifer Christensen	8.63883	526-83-3120	divoced	46.44748	no	1.00000	6.02526	1.94075	83.78996	6.82279	66.74814	1.01621	3.81917
60	4.83042	8.28098	36.21513	Debra Williams	3.68716	491-24-9009	single	66.77521	Y	1.00000	6.80953	6.24295	90.37193	5.81891	64.36487	1.02846	7.42295
61	7.06120	7.09346	121.64553	Chase Kline	4.85300	582-21-9359	divoced	40.69609	N	1.00000	6.08405	7.13779	46.93597	7.92170	72.69098	1.30355	6.11707
62	7.82691	7.01192	91.84049	Paula Dawson	8.97010	088-65-8379	separated	48.80751	no	1.00000	6.74130	5.41404	87.49879	6.30372	66.38542	1.66497	5.24754
63	8.54914	7.64890	74.73907	Amber Jones	7.75174	379-45-1604	nop	61.40481	no	1.00000	6.71764	6.05693	62.53949	7.50938	75.34099	3.63066	5.91844
64	5.12529	6.48937	81.02118	Joshua Mccoy	6.83477	873-34-6698	married	56.26224	no	0.00000	5.94202	9.93810	16.78779	8.82375	76.43811	1.00769	5.95176
65	5.76865	6.48447	98.67144	Gary Pollard	6.56236	779-68-7845	widowed	43.25635	no	1.00000	6.43875	8.17123	52.13001	7.93897	71.19939	0.29445	7.88989
66	5.33239	5.79238	57.99304	Donna Rodriguez	4.79060	112-26-7494	married	64.35510	Y	1.00000	6.18360	7.46726		8.37675	79.84000	0.81069	6.84697
67	5.33283	5.34790	51.16275	Kristin Ibarra	7.85678	685-62-1160	married	49.53980	yes	0.00000	7.42590	8.05704	84.61048	6.21013	75.91883	1.12852	4.25857
68	6.99741	6.78463	66.28515	Richard Burnett	3.89983	301-45-1450	married	23.83449	yes	1.00000	5.58287	6.86502	77.58638	5.66382	75.24894	0.99718	7.23459
69	5.81385	6.22147	20.40736	Christine Matthews	8.72148	630-65-9266	nop	39.25356	N	1.00000	6.16006	3.67890	50.50793	4.78576	70.22543	1.07178	4.74880
70	8.51110	4.46316	76.53661	Katrina Delgado	9.45622	378-54-2888	nop	78.88340	no	1.00000	6.40960	4.98885	62.46677	7.53756	73.42037	2.62844	5.16163
71	6.11085	6.81732	118.39223	Travis Bailey	9.08389	027-90-1487	married	51.30391	yes	0.00000	7.39837	7.37459	87.79996	6.26441	75.76399	1.07199	4.33822
72	7.14443	8.55592	84.02090	Peter Coffey	7.28540	470-71-2076	single	51.21684	no	1.00000	5.41336	4.79794	41.78177	7.89560	75.40458	1.34178	4.99380
73	8.16818	6.21678	101.84941	Terry Webb	9.79876	504-95-1578	divoced	47.44170	yes	1.00000	5.77873	4.74873	52.58908	7.75944	65.30154	2.93553	4.93080
74	5.32324	6.48507	99.19722	Gary Robbins	7.21476	564-20-6791	separated	48.20821	Y	1.00000	7.53079	9.19943	84.40340	6.55030	82.21656	1.14607	7.97991
75	8.12890	9.17428	23.72338	Gabriel Perez	9.43035	100-43-1686	married	48.27690	no	0.00000	6.25233	7.40052	79.93880	6.49514	73.75234	2.11459	10.20116
76	5.48028	7.76526	63.01438	Cheryl Santos	4.48742	372-24-2526	nop	55.88758	Y	1.00000	5.20783	7.40454	87.47185	6.80844	73.60919	0.96460	6.44660
77	5.20407	6.89058	75.92059	Robert Juarez	2.37912	550-71-9175	single	38.11556	Y	1.00000	6.56078	5.25399	40.96140	7.96332	77.86481	0.95286	7.36542
78	8.41403	6.68052	58.44562	Ashley Tucker	8.35242	694-36-8258	married	64.58496	yes	0.00000	8.18456	7.55583	30.94915	4.26348	79.21067	3.21225	8.85697
79	6.81694	7.27897	-12.50980	Aaron Mccarthy	6.25237	595-85-5638	married	59.86021	yes	1.00000	8.82810	8.05624	79.37186	6.87687	74.46657	1.12740	6.78786
80	4.55281	6.18731	125.45675	Jacqueline Dawson	5.63057	012-62-2564	nop	76.16327	no	1.00000	7.89666	7.89248	37.74323	7.99546	68.50997	0.93951	8.65619
81	7.54947	6.37004	118.26493	Katrina Gonzalez	6.32326	495-81-5543	married	45.90844	no	1.00000	7.88131	3.92056		6.10652	65.46590	1.71146	4.90098
82	6.28976	9.00437	59.98309	Joseph Jordan	5.06743	195-59-7566	divoced	48.40746	yes	1.00000	6.55457	7.75358	54.91566	7.52420	68.33150	1.00386	7.05046
83	5.11892	5.04682	40.89783	Kaitlin Rivera	5.96497	484-81-0612	single	52.88046	N	1.00000	6.70077	7.74519	81.49239	5.87878	76.58673	0.89522	6.42216
84	6.06404	6.97273	66.78809	Justin Herring	9.90705	500-66-1544	married	52.65954	no	0.00000	6.59720	5.74052	72.07927	7.09548	75.76897	0.72776	6.28925
85	9.50947	7.11023	74.43702	Jerry Rowe	8.35513	444-27-1556	married	39.57496	no	1.00000	7.17361	6.93496	65.29467	7.42111	72.46498	7.41064	5.95942
86	4.25573	6.82222	69.51505	Mr. John Roach	4.80312	750-70-5813	divoced	56.60278	Y	1.00000	8.19414	7.13698	89.41093	6.38804	76.11212	0.63829	7.83110
87	7.58988	7.74902	91.61709	Troy Livingston	8.12889	074-36-0187	divoced	81.30789	no	1.00000	7.99027	5.19518	79.29820	5.56096	69.78306	1.39605	5.57071
88	6.91864	6.51098	86.16142	Danny Conley	8.00489	709-67-3388	divoced	68.44555	yes	1.00000	7.00141	3.63128	59.66044	7.57588	61.81225	1.22661	5.17047
89	10.12014	6.34919	134.36648	Anthony Figueroa	8.85735	521-55-7751	widowed	63.96243	no	1.00000	7.12291	7.84041	85.82562	6.22506	79.78658	12.71436	6.66014
90	5.02550	7.18658	47.82429	Taylor Nicholson	4.82711	012-96-4727	married	69.91011	no	1.00000	8.04320	6.92759	49.92498	7.81129	67.86235	0.84659	7.13243
91	7.21592	7.16688	26.83110	Christopher Kim	8.10027	353-01-6140	separated	70.54184	no	0.00000	9.07256	7.35361	70.92131	5.38271	69.59928	1.75881	9.27515
92	8.87305	6.03338	63.51713	Darrell Green	6.34877	811-61-8069	nop	28.58045	no	0.00000	6.54436	6.69480	87.79856	6.88806	65.42836	3.87921	5.88887
93	4.75857	7.60108	70.73684	Eileen Barr	6.54929	474-51-8585	widowed	53.29729	no	1.00000	8.20710	8.26521	69.41772	5.36475	71.13597	0.70735	6.75853
94	6.07273	7.57806	51.02061	Jordan Andrews	8.20622	474-82-3021	single	36.80177	no	0.00000	5.91736	7.96948	64.36361	7.48973	69.37248	0.99507	5.09672
95	6.47781		94.46884	Kimberly Wilson	9.80054	691-75-9961	married	76.06639	Y	0.00000	5.93573	8.00859	84.45894	6.71484	79.28816	1.15321	10.19409
96	3.47974	7.72618	62.30058	Jose Diaz	4.43997	114-92-2802	divoced	60.89353	Y	1.00000	6.27522	6.96832	71.87391	5.39708	73.59792	0.16593	6.76358
97	6.14005	7.60215	93.10720	Michael Brown	3.85676	671-58-1121	divoced	65.00280	no	1.00000	5.19640	7.40278	88.10956	5.61764	69.51256	0.88816	8.95724
98	7.32454	7.04893	82.34373	Mike Young	6.14473	735-32-6696	divoced	58.37770	yes	0.00000	7.84398	7.23753	23.15297	8.52669	76.01612	1.69033	6.15277
99	9.24603	8.03866	119.49346	Jose Smith	7.20864	442-15-4742	divoced	67.64825	no	0.00000	6.31190	7.52916	88.35964	6.10022	72.96790	5.74605	6.46175
100	6.38604	7.27020	42.72840	Maureen Walters	7.40769	293-95-0395	divoced	51.91076	yes	0.00000	5.66713	9.31401	85.28770	6.47624	76.43766	0.97239	3.98801
101	8.87547	7.88930	92.89809	Nicholas Wood	9.43818	598-55-4974	married	84.96528	Y	0.00000	7.69406	7.20777	84.51808	6.05853	79.95521	4.11284	6.52598
102	4.97225	7.02653	40.16216	Michaela Dawson	4.19005	869-16-8102	divoced	41.53330	no	1.00000	6.71477	6.51758	63.30620	7.32010	71.36471	1.03445	7.92672
103	8.09420	8.52439	104.55876	Victoria Mendez	6.78338	849-81-8146	divoced	50.08412	N	0.00000	8.04991	9.22923	80.54560	6.86081	68.39049	1.82384	6.42795
104	4.72341	5.56181	77.89972	Adrian Jensen	6.03659	873-38-7944	married	60.99452	no	1.00000	6.13902	8.85307	67.92491	5.19759	72.34197	0.94455	6.85662
105	5.03115	4.83743	46.52321	Brooke Harris	4.90675	728-68-4297	married	58.25570	no	1.00000	6.02357	7.16261	80.97308	6.62230	77.69568	0.76746	9.65677
106	8.21678	6.66216	-2.96062	Sharon Smith	6.78370	351-43-0908	divoced	71.61698	no	0.00000	9.31770	8.91987	17.21151		67.76217	2.39474	6.83125
107	5.90245	5.96982	97.12348	Phillip Stevenson	5.29677	131-20-2324	widowed	52.02697	no	1.00000	5.64307	8.27488	59.54275	7.57695	78.69110	0.91250	8.29110
108	6.23114	6.05391	21.72029	Jacqueline Dawson	8.78846	012-62-2564	divoced	46.85483	Y	1.00000	7.30037	5.13887	89.50350	6.32599	69.89616	0.67722	5.39030
109	7.51165	5.70987	65.47469	Hector Vincent	10.02644	468-67-7419	nop	57.48146	no	0.00000	6.17993	8.58082	78.29451	6.32445	71.56586	1.46534	10.12996
110	9.41513	8.27831	2.88460	Bonnie Owens	6.93115	313-35-0108	single	45.47908	no	1.00000	5.86284	6.67816	83.79112	5.87627	62.94359	6.73439	6.16008
111	6.28741	6.53447	17.65417	Michael Gonzalez	4.94625	156-32-0647	single	62.09410	yes	1.00000	7.02890	7.90185	82.58410	6.53350	79.03348	1.27713	7.41947
112	7.70493	8.10087	73.78633	Christopher Johnson	9.07123	753-83-4397	married	54.21728	no	1.00000	6.36152	5.30434	87.69243	6.40219	70.59028	2.36322	4.89665
113	6.64641	6.46137	84.83697	Cynthia Turner	7.40099	721-18-9275	single	49.54654	yes	0.00000	8.60483	8.79571	76.50035	5.33497	73.92596	1.30727	8.49785
114	9.26554	7.53842	57.10875	Jeremy Rocha	9.48908	635-61-0538	married	66.12600	no	0.00000	6.43430	6.49706	60.58218	5.24268	69.91902	6.20310	9.02183
115	5.08740	6.38731	55.64221	Lisa Wells	7.57604	642-81-3881	separated	55.64855	no	0.00000	6.22963	9.21434	64.24316	5.22673	80.85506	0.81077	4.83324
116	8.38415	5.85434	16.21207	Eric Jackson	5.65122	004-30-3614	nop	43.14537	no	0.00000	6.34966	6.77467	65.95977	7.39890	78.35889	2.93419	4.79338
117	6.59030	8.31856	54.68596	Micheal Arnold	9.32378	855-59-9776	married	45.72671	no	0.00000	9.50036	6.17324	86.23429	6.66411	70.58900	1.19223	6.04099
118	5.72749	6.10905	30.56478	Jason Mason	6.97334	616-21-1677	single	51.43672	Y	1.00000	7.26897	8.59124	88.55939	6.22538	81.87122	0.96009	7.62553
119	5.39715	7.14552	67.03001	Jonathan Wright	5.84281	819-66-1915	married	51.37601	yes	1.00000	7.87949	7.63532	79.97119	6.66862	67.34661	1.18120	8.46359
120	5.86472	6.68760	59.12915	Michael Wilkins	5.02620	844-91-4134	divoced	38.21507	Y	1.00000	6.35332	8.26912	56.78479	7.67351	76.15705	1.04864	6.67396
121	8.71035	6.79653	40.26034	Bradley Johnson	8.08383	640-53-2422	widowed	57.34932	no	1.00000	6.62617	7.71181	84.84901	6.19539	74.44746	3.81331	6.56466
122	5.14858	6.44858	43.48473	Derrick Bennett	7.74596	511-90-7810	divoced	64.64862	N	0.00000	6.93218	8.26521	65.36364	7.47323	83.79921	0.76150	6.24123
123	6.72994	6.33328	83.57021	Mark Martinez	6.04490	243-87-6215	divoced	55.72034	no	1.00000	5.75437	7.94526	91.00119	6.23578	64.01560	1.13788	9.39963
124	5.60648	7.12518	35.47761	Stephanie Jarvis	5.84419	691-23-1565	married	66.80029	no	1.00000	8.11091	9.29206	89.87486	6.59371	72.96582	0.84835	6.65551
125	6.43793	7.05271	33.05868	Cassandra Cook	9.71689	694-92-8616	divoced	69.25764	no	1.00000	6.60619	3.55796	85.00404	6.66804	67.36795	1.24108	4.36353
126	4.73335	6.54317	70.03518	Andrew Hamilton	6.68998	765-12-0256	divoced	73.31560	no	0.00000	6.45407	9.36117	82.78072	6.55937	74.31069	0.87527	5.85555
127	8.33938	8.02179	91.02466	Wesley Martin		192-38-4640	divoced	70.90195	no	1.00000	7.66894	7.06972	84.42824	5.81272	78.08087	2.88376	6.21813
128	6.38530	7.74251	84.92040	Samantha Gonzales	9.20120	800-70-8225	divoced	35.85122	no	0.00000	6.66075	6.63292	57.27273	7.39473	68.00376	0.89276	6.45186
129	9.09341	6.88436	106.91817	Felicia Buck	5.15165	094-65-1763	nop	68.95503	N	1.00000	7.45565	5.26007	81.63092	5.85435	79.08518	5.39486	5.39993
130	4.73531	5.88096	112.66114	Kevin Mcdonald	7.53072	403-56-1808	divoced	43.84642	no	1.00000	6.41321	9.53188	87.55794	6.68795	70.64290	0.74615	9.69678
131	6.59902	5.93659	41.30591	Amy Pineda	8.82811	265-20-0465	divoced	60.32749	no	1.00000	6.67607	3.84380	64.27943	5.21574	80.49097	1.19665	4.63305
132	5.15130	6.71309	94.25326	Alexandra Harper	6.59884	280-97-1002	married	56.24425	no	1.00000	7.32327	8.69593	45.50137	7.93307	68.94169	0.62400	7.68319
133	5.79403	6.68509	41.47692	Cynthia Turner	7.66065	721-18-9275	nop	58.51213	no	1.00000	7.59573	9.04554	85.83345	6.68603	74.24065	0.76191	9.09297
134	5.74290	6.41648	12.29960	Peggy Jacobs	5.43957	166-78-2803	divoced	35.58768	no	1.00000	5.67285	7.53135	20.11846	8.93961	80.00629	1.11990	8.34381
135	8.71368	8.37364	16.54065	Isaac Wright	5.90294	149-94-9034	nop	37.09751	no	1.00000	5.23006	5.24673	80.53611	6.63406	81.38325	3.73947	5.19461
136	5.15608	6.86944	75.76929	Leah Lucero MD	3.68330	669-35-0079	single	54.94824	Y	1.00000	7.58559	5.98139	47.08369	7.92394	77.34273	1.06239	8.14287
137	5.73212	5.37263	107.83181	Dean Martin	4.45296	317-25-6371	single	36.18423	yes	1.00000	9.24558	7.23405	40.00784	8.07194	84.31152	0.83250	7.59943
138	4.32755	7.70530	78.89840	Kayla Jennings	4.45756	261-90-6320	nop	52.51855	no	1.00000	6.66650	6.85133	76.00068	6.96061	73.86481	0.42687	7.19635
139	7.36477	7.02939	10.58157	Clayton Fischer	5.56300	108-76-8050	widowed	68.86837	no	0.00000	5.66245	8.73480	81.17888	6.93084	81.30116	1.30428	6.26373
140	8.86655	6.79622	12.95272	Tony Reed	7.42641	587-71-1905	divoced	46.10467	yes	0.00000	8.00787	7.29765	83.76175	6.03697	61.21599	4.17163	7.42322
141	7.69490	6.45538	78.74914	Krystal Tate	4.21797	618-19-6171	married	47.06067	Y	0.00000	5.70137	8.10841	53.38567	4.87005	74.44147	1.44220	4.16721
142	6.31084	4.99563	72.78267	Rachael Ruiz	4.45319	117-15-0244	married	51.67640	yes	1.00000	6.95756	7.41935	73.35489	7.26143	68.01689	1.05817	7.21860
143	5.88454	6.50743	130.41681	Julia Ryan	4.60412	458-50-9190	married	54.22330	no	1.00000	8.47741	6.87455	86.39415	6.15690	79.53509	1.09714	6.42179
144	6.48848	7.80266	114.16630	Teresa Mitchell	5.63538	667-98-2560	married	56.77019	no	1.00000	6.81160		69.62842	5.23475	68.43578	0.79037	8.60396
145	5.22336	7.54291	58.92440	Timothy Lynn	7.63200	123-93-9444	single	34.21001	no	0.00000	6.72042	8.72335	50.44148	4.71116	71.37732	0.51948	5.79135
146	7.02584	5.51835	-0.40983	Theodore Liu	8.44952	079-54-7108	separated	45.43019	Y	0.00000	7.10838	5.17660	47.13872	7.91468	75.34957	1.32837	7.61862
147	8.29844	6.01721	108.25638	Dr. Morgan Lewis	8.90006	853-53-0641	separated	49.55562	Y	0.00000	8.53816	8.25080	88.21668	6.11247	69.22617	2.96930	8.75785
148	6.49845	6.04960	160.58396	Phillip Graham	5.36818	732-45-0019	separated	52.70808	no	1.00000	7.57201	8.00805	32.33977	8.15704	62.02920	1.11848	9.77149
149	4.19619	6.90985	105.60314	Julie Owens	4.04718	251-42-4164	single	55.81326	no	0.00000	6.91180	7.24760	61.67292	5.35976	55.65097	0.86801	6.60685
150	7.59573	5.29835	67.48604	Taylor Thompson	5.69552	577-97-3180	divoced	40.83367	yes	0.00000	6.35139	7.65979	15.76970	9.89535	62.84206	1.65094	5.68705
151	5.34279	9.09303	69.99985	Teresa Hudson	4.21493	494-77-9867	divoced	72.07557	yes	1.00000	6.29306	7.56754	44.97183		67.65751	0.61139	10.02446
152	5.08305	8.18635	103.85416	Richard Schmitt	8.36315	553-70-2398	single	65.86674	no	0.00000	5.68277	8.15249	82.41113	5.93351	93.69836	0.75018	5.70631
153	5.38121	7.70908	79.18548	Mary Gonzalez	6.20566	678-57-6772	divoced	46.44150	no	1.00000	6.05835	8.51562	72.04961	7.08055	73.28715	1.25049	10.33345
154	6.01019	7.70384	104.23147	Joseph Jordan	7.54965	195-59-7566	married	44.75220	N	1.00000	8.38287	9.27638	40.63613	8.01110	70.20493	1.04970	8.56554
155	4.42990	8.07899	60.72150	James Howard	3.94950	856-38-8298	married	72.53207	Y	1.00000	6.43060	7.02849	86.66923	6.27840	71.10923	0.54768	8.96054
156	9.62779	9.22731	82.70227	Joseph Butler	6.45352	607-54-6107	divoced	60.63147	no	0.00000	6.69894	6.33379	22.79483	8.80165	78.14848	7.92489	5.57653
