	sex	blood_group	job	residence	birthdate	ssn	current_location	race	name
19	F	B-	Production assistant, radio	"Unit 1801 Box 4167
DPO AP 61640"	05 Jun 1937	642-81-3881	(Decimal('6.6323625'), Decimal('42.487707'))	Black	Lisa Wells
20	F	O-	Exhibitions officer, museum/gallery	"05510 Nicole Cove Apt. 472
North Christineburgh, KS 04974"	09/16/1950, 00:00:00	057-41-2880	(Decimal('-77.225438'), Decimal('125.821316'))	White	Dr. Karina Foster DVM
21	M	O-	Midwife	"9646 Clayton Junction
Perezfurt, NM 16894"	2015-06-11	689-68-3082	(Decimal('-68.4169335'), Decimal('-24.683776'))	White	William Clark
22	M	AB+	Warehouse manager	"21867 Johns Green Suite 271
Priceton, CT 28097"	06 Apr 1992	357-26-4933	(Decimal('48.781104'), Decimal('-153.050867'))	Black	Dr. Bradley Lawrence
23	F	A+	Designer, jewellery	"734 Novak Squares
West Cory, NY 86099"	08 Dec 2020	069-97-0181	(Decimal('-43.013358'), Decimal('123.747939'))	Black	Alyssa Harris
24	M	O+	Trade union research officer	"3813 Dave Motorway
New Lindaport, CT 05291"	1912/07/06	825-95-4387	(Decimal('-0.698136'), Decimal('40.289149'))	White	Jacob Rodriguez
25	M	B+	Nurse, adult	"USCGC Cabrera
FPO AP 38165"	11/03/2004, 00:00:00	873-38-7944	(Decimal('46.5158935'), Decimal('-176.393589'))	White	Adrian Jensen
26	M	O-	Psychologist, occupational	"74547 Greene Motorway
East Francis, WI 08311"	11/24/1961, 00:00:00	328-24-3928	(Decimal('71.3435065'), Decimal('133.439381'))	White	Jacob Alvarez
27	M	B+	Illustrator	"72591 Gill Meadow
South Henrymouth, MI 75035"	1981-07-28	750-91-1755	(Decimal('-6.204324'), Decimal('154.024661'))	White	Daniel Mitchell
28	M	O-	Producer, television/film/video	"597 Perez Locks
Pagefort, ND 54371"	09/25/1922, 00:00:00	163-61-2015	(Decimal('-71.8386065'), Decimal('-83.324556'))	White	Justin Johnson
29	M	B+	Building surveyor	"1272 Stewart Cliff
East James, MI 15464"	1979-01-30	303-81-5121	(Decimal('-9.4028045'), Decimal('139.100342'))	Black	Andrew Pierce
30	M	O+	Chiropractor	"Unit 6305 Box 3626
DPO AP 93408"	1929-08-02	403-59-6300	(Decimal('-4.639118'), Decimal('-24.045668'))	Hawaiian	Terrence Ryan
31	F	B+	Dramatherapist	"148 Sean Road
Peterville, LA 97075"	2001-01-20	352-68-4340	(Decimal('17.665967'), Decimal('-11.824971'))	Indian	Courtney Martin
32	F	O-	Armed forces training and education officer	"277 Vanessa Skyway Apt. 559
Kevinland, IN 93371"	05/28/1983, 00:00:00	756-41-9382	(Decimal('-51.7481585'), Decimal('-79.439596'))	White	Maria Alvarez
33	F	B+	Field seismologist	"9674 Valentine Station Apt. 366
Port Dennis, MD 35376"	24 Jun 1915	083-05-6340	(Decimal('-62.5807055'), Decimal('26.552961'))	White	Emily Owens
34	F	O+	Tax inspector	"4529 James Lights Apt. 232
East Joshua, ID 33196"	1955-02-19	410-81-8835	(Decimal('-53.3799515'), Decimal('2.352598'))	Black	Michele Weber
35	M	O+	Copywriter, advertising	"777 Ross Land
New Andrea, DE 42533"	15 Mar 1986	188-66-0575	(Decimal('4.3434905'), Decimal('-10.125520'))	White	Anthony Quinn
36	F	B-	Research scientist (maths)	"99732 Hall Branch Apt. 658
Port Katherineland, MI 92013"	02/08/1924, 00:00:00	523-29-9188	(Decimal('9.3231215'), Decimal('-118.106954'))	black	Lori Trujillo
37	M	B-	Agricultural consultant	"890 Young Walks
Hayesmouth, KS 35239"	1948/02/06	110-23-9881	(Decimal('-85.6517355'), Decimal('-81.918262'))	Black	David Cruz
38	M	AB+	Patent attorney	"76403 Peter Alley Apt. 215
New Annaport, NY 52239"	1926/05/02	075-57-5098	(Decimal('78.0604235'), Decimal('-74.338837'))	White	Russell Rangel
39	F	AB-	Scientist, marine	"1930 Matthew Lodge
South Robert, WV 17180"	07/30/1969, 00:00:00	428-39-0668	(Decimal('20.386524'), Decimal('58.838161'))	White	Faith Patrick
40	F	A-	Pension scheme manager	"8883 Rebecca Crossroad Suite 309
Port Barbara, DC 61357"	1967-12-11	676-01-0503	(Decimal('-8.436283'), Decimal('-39.252025'))	White	Jennifer Mcdaniel
41	M	B-	Editor, commissioning	"9315 Fischer Knoll Apt. 051
South Stephen, MI 47477"	02/23/1910, 00:00:00	500-38-7302	(Decimal('79.244233'), Decimal('-23.287852'))	White	Michael Douglas
42	M	A-	Teacher, primary school	"420 Michelle Isle Apt. 319
Jacksonton, OH 04395"	1908-04-02	025-82-2820	(Decimal('77.804893'), Decimal('-19.529141'))	black	Adam Johnson DDS
43	F	AB+	Energy manager	"7012 Kelley Inlet Apt. 088
South Christopherview, OK 30553"	29 May 1929	493-35-6958	(Decimal('-23.235429'), Decimal('-94.480369'))	White	Danielle Martinez
44	F	B+	Acupuncturist	"59849 Pugh Passage Suite 410
Leebury, WY 75014"	07/02/1952, 00:00:00	382-11-4478	(Decimal('-47.5725805'), Decimal('-30.664951'))	Black	Christina Bell
45	M	AB+	Health and safety inspector	"03688 Rebecca Lodge
Justinmouth, KS 83032"	1969-09-06	863-96-8246	(Decimal('50.866838'), Decimal('-118.442875'))	Asian	Michael Thompson
46	F	AB-	Advice worker	"12681 Burns Valley
Christinaside, DE 50547"	09/18/1933, 00:00:00	600-96-9923	(Decimal('34.2092815'), Decimal('45.294331'))	White	Grace Johnson
47	M	AB-	Ship broker	"00694 Nguyen Hills
Lake Davidland, NV 54009"	08/27/1915, 00:00:00	644-50-7970	(Decimal('25.980919'), Decimal('72.560587'))	White	Ricardo Mason
48	F	AB-	Multimedia programmer	"117 Thomas Forge
New Christy, NE 49395"	02/26/1969, 00:00:00	742-62-6044	(Decimal('-39.8670095'), Decimal('-36.340241'))	Black	Lisa Rhodes
49	F	B+	Chief Operating Officer	"6851 Russell Ports
Julianhaven, NV 43586"	1926-08-26	083-21-6913	(Decimal('50.9160605'), Decimal('172.267856'))	Black	Julie Cole
50	F	A+	Editor, film/video	"798 Clark Dam
Robertsonfort, IL 82866"	1991-05-28	622-53-4374	(Decimal('-45.0647005'), Decimal('-51.112032'))	Hawaiian	Samantha Barber
51	F	A-	Plant breeder/geneticist	"642 Veronica Row
Gonzaleschester, IA 86520"	07/27/2000, 00:00:00	053-72-0248	(Decimal('-47.9966735'), Decimal('134.267443'))	Hawaiian	Susan Estes
52	F	A+	Press photographer	"4826 James Extension Apt. 969
South Denisechester, KY 28451"	18 May 1922	585-75-7921	(Decimal('32.4882665'), Decimal('90.467323'))	White	Deanna Jackson
53	F	B-	Civil engineer, consulting	"065 Suarez Overpass Suite 549
West Isaac, ND 32301"	1983-07-14	721-18-9275	(Decimal('-62.660106'), Decimal('-135.057268'))	Hawaiian	Cynthia Turner
54	M	B-	Quantity surveyor	"754 Daniel Turnpike
Lake Marissa, NY 66425"	05/03/1967, 00:00:00	616-21-1677	(Decimal('-29.081202'), Decimal('-124.128433'))	White	Jason Mason
55	F	O-	Medical technical officer	"369 Ryan Mountains Apt. 012
Olsonton, FL 39210"	10/28/1921, 00:00:00	324-25-7143	(Decimal('78.0651065'), Decimal('133.101322'))	Hawaiian	Melinda Santos
56	M	O-	Surveyor, planning and development	"6877 Wyatt Grove Suite 550
Johnland, AR 41189"	1937-08-24	660-43-7625	(Decimal('54.568634'), Decimal('168.890172'))	Hawaiian	Joseph Briggs
57	M	AB-	Civil Service fast streamer	"PSC 1640, Box 9706
APO AE 17903"	1985-11-17	598-55-4974	(Decimal('-0.9641725'), Decimal('-25.049227'))	Black	Nicholas Wood
58	M	O+	Acupuncturist	"3549 Brown Key Apt. 110
Port Lindaview, MS 29531"	09/02/1932, 00:00:00	336-11-6133	(Decimal('23.725792'), Decimal('108.281669'))	Black	James Brown
59	M	B+	Therapist, occupational	"6940 Shawn Park Suite 980
Conradton, NM 80384"	1988/09/04	739-27-8626	(Decimal('-14.455388'), Decimal('140.745379'))	Black	Tommy Adams
60	M	B+	Wellsite geologist	"787 Thompson Lodge
Lopezberg, MN 43566"	1933/05/08	029-47-3790	(Decimal('-34.7464445'), Decimal('64.628141'))	Indian	Alan Crawford
61	M	B+	Development worker, international aid	"Unit 7641 Box 5316
DPO AE 29828"	1916-09-03	632-98-0768	(Decimal('-5.473453'), Decimal('71.997581'))	black	Daniel Fox
62	M	B+	Public affairs consultant	"Unit 9625 Box 4058
DPO AE 02472"	1996-10-18	300-79-1400	(Decimal('89.1059575'), Decimal('-9.400964'))	White	Brandon Wilkinson
63	M	O+	Hydrologist	"50245 Esparza Vista Suite 257
Lake Karen, ID 98039"	1912-06-21	009-44-3043	(Decimal('35.9704125'), Decimal('70.300411'))	White	David Owen
64	F	B-	Research scientist (physical sciences)	"271 Jason Park
Debrashire, IL 15928"	26 Mar 1929	523-34-4054	(Decimal('20.127235'), Decimal('11.493850'))	White	Kristy Chan
65	F	A+	Production engineer	"PSC 6439, Box 2636
APO AE 62540"	07/15/1930, 00:00:00	172-68-2016	(Decimal('-32.019429'), Decimal('82.662373'))	Asian	Christina Romero
66	F	B+	Radiographer, therapeutic	"948 Scott Harbor
Port Angelastad, RI 65984"	1923-12-06	720-89-2053	(Decimal('60.759193'), Decimal('-72.734305'))	White	Brianna Walker
67	M	AB-	Engineer, site	"56261 Mikayla Green Suite 316
New Andreaview, FL 05307"	19 Nov 1986	745-45-1758	(Decimal('54.2660255'), Decimal('113.869470'))	White	Brian Padilla
68	M	B-	Financial trader	"Unit 3507 Box 8518
DPO AP 56832"	09 Jan 1919	115-51-0638	(Decimal('-54.450790'), Decimal('-10.681375'))	White	Joseph Hansen
69	M	B+	Forensic scientist	"Unit 7001 Box 6948
DPO AE 48787"	24 Apr 1943	580-17-8754	(Decimal('26.0674295'), Decimal('158.362714'))	Hawaiian	Jesse Baldwin
70	F	B+	Production manager	"08127 Jodi Spurs Suite 559
South Nicholas, CO 33898"	11 Sep 2008	117-02-6469	(Decimal('22.9619195'), Decimal('-153.265446'))	White	Tiffany Sullivan
71	M	B+	Solicitor	"PSC 6901, Box 9966
APO AA 87397"	04/06/1938, 00:00:00	492-52-2879	(Decimal('77.343483'), Decimal('80.630311'))	White	Jonathan Thompson
72	F	B+	Video editor	"8387 Jenkins Cape
East Christopher, PA 21826"	11/01/1905, 00:00:00	849-02-8481	(Decimal('-49.2691635'), Decimal('87.479654'))	White	Nancy Long
73	M	A-	Emergency planning/management officer	"6807 Joanne Springs Apt. 409
East Christina, DE 71358"	21 Jun 2017	886-83-6282	(Decimal('-31.2309065'), Decimal('-31.039578'))	White	James Burgess
74	F	A+	Operational investment banker	"10109 Brittany Extension
East Davidfurt, NY 26119"	1937/05/06	691-13-3249	(Decimal('-36.094848'), Decimal('71.273396'))	Black	Mary Cortez
75	M	A-	Occupational therapist	"36156 Smith Orchard
Miguelhaven, KY 29524"	1913/04/17	188-28-2199	(Decimal('0.1192805'), Decimal('24.455780'))	White	Robert Kirk
76	M	O+	Medical secretary	"2023 Gutierrez Manor
Jonesmouth, ID 76981"	1922-09-08	452-14-2419	(Decimal('-0.7329375'), Decimal('136.352266'))	black	Brandon Kim
77	F	B+	Adult guidance worker	"98295 Stewart Glen
Martinezmouth, CO 50454"	2021/05/09	329-70-0349	(Decimal('84.812605'), Decimal('-128.961083'))	Asian	Katie Bridges
78	F	O-	Environmental education officer	"7244 Bradley Trail
North Donnaview, RI 63906"	06/05/1923, 00:00:00	025-65-9624	(Decimal('-35.237661'), Decimal('-84.777009'))	White	Lisa Dixon
79	M	O-	Heritage manager	"9180 Anthony Brook Apt. 176
Jerryfurt, LA 45329"	29 Jan 1949	795-42-3019	(Decimal('36.870322'), Decimal('-45.637102'))	White	Barry Ramirez
80	M	AB+	Operational investment banker	"118 Decker Heights Suite 720
Melissaburgh, MS 50830"	24 Mar 1960	015-78-5819	(Decimal('77.064890'), Decimal('-91.249632'))	White	Philip Hall
81	M	O+	Financial risk analyst	"604 Timothy Bypass
Marvinville, NM 83680"	1989-06-15	810-98-4170	(Decimal('-35.114503'), Decimal('103.069446'))	White	Jared Price
82	M	AB-	Buyer, retail	"5842 Lindsey Creek
New Jamiemouth, HI 26429"	1993-10-06	574-97-9246	(Decimal('-33.175782'), Decimal('63.645183'))	Black	Scott King
83	M	A-	Catering manager	"913 Michael Via Apt. 765
Larsenshire, WA 05533"	1923-01-30	671-58-1121	(Decimal('-67.265257'), Decimal('176.021902'))	White	Michael Brown
84	F	B+	Consulting civil engineer	"5911 John Hills Suite 771
Steelechester, NC 44229"	11/20/2011, 00:00:00	038-39-6604	(Decimal('-88.883986'), Decimal('134.745820'))	Black	Madeline Joseph
85	M	O-	Industrial/product designer	"86349 Shaw Skyway
South Aaron, ID 18719"	02/07/1956, 00:00:00	853-27-4201	(Decimal('23.7221485'), Decimal('-0.344960'))	Black	Chris Carter
86	F	AB-	Actor	"29352 Eugene Forge Apt. 402
South Codyhaven, AK 28274"	1967-01-10	246-44-3574	(Decimal('89.884435'), Decimal('-132.033762'))	Hawaiian	Samantha Welch
87	F	AB+	Radiographer, diagnostic	"84432 Andrea Loop Apt. 035
New Crystalport, NJ 44057"	2018/01/03	201-33-2950	(Decimal('14.5389045'), Decimal('-72.807429'))	Black	Kristen Thompson
88	M	B-	Scientific laboratory technician	"80129 Sanford Canyon Suite 920
Port Linda, AR 34336"	18 Sep 1998	581-94-3511	(Decimal('-11.0851235'), Decimal('157.424621'))	Black	Joseph Johnson
89	F	AB-	Acupuncturist	"048 Bell Plaza Apt. 788
Amandaton, MA 26801"	01/04/1979, 00:00:00	544-63-4775	(Decimal('19.0913125'), Decimal('15.068838'))	White	Melissa Hernandez
90	M	AB-	Research scientist (maths)	"1398 Reyes Mount
Melvinborough, MO 87808"	07/08/1950, 00:00:00	422-23-8358	(Decimal('-65.269355'), Decimal('150.948745'))	Asian	Nicholas Schneider
91	F	O+	Sports administrator	"3598 Gilbert Drive Apt. 455
Adamsmouth, DC 93694"	1983/11/27	294-49-0092	(Decimal('0.545084'), Decimal('151.077830'))	Hawaiian	Jennifer Mercado
92	M	A+	Trading standards officer	"0972 Lester Square Apt. 451
North Melissaborough, PA 78730"	1956/06/03	768-78-9935	(Decimal('-72.8927215'), Decimal('-107.320094'))	White	Aaron Walker
93	M	A-	Architectural technologist	"08626 Turner Brook Suite 894
Jonathanside, OK 83371"	20 Feb 2012	831-48-8975	(Decimal('-36.4312075'), Decimal('2.994771'))	Black	Steven Jimenez
94	F	O+	Chief Technology Officer	"92990 Oconnor Springs
East Stephanie, MD 16136"	1923-07-01	474-51-8585	(Decimal('-74.777338'), Decimal('173.240622'))	White	Eileen Barr
95	M	B+	Research officer, trade union	"0741 Kathryn Hollow
East Chelsea, AL 75285"	1999-02-22	356-46-1006	(Decimal('28.1506475'), Decimal('94.439963'))	Black	Dakota Carroll
96	F	O+	Engineer, energy	"37045 Louis Mission Apt. 784
West Michael, HI 91139"	09/21/1932, 00:00:00	446-60-4264	(Decimal('12.9587865'), Decimal('-20.028422'))	White	Heather Newman
97	F	AB-	Control and instrumentation engineer	"9905 Hess Skyway
West Jesseside, WI 69784"	23 Oct 2003	661-45-3725	(Decimal('-54.772923'), Decimal('156.054303'))	Asian	Kelly Vazquez
98	M	AB-	General practice doctor	"64986 Curtis Path
New Joyton, GA 09869"	1975/08/20	892-19-6990	(Decimal('2.1248145'), Decimal('75.653318'))	White	John Berry
99	M	AB-	Sports administrator	"39506 Thomas Lake Suite 342
Meadowsview, PA 77885"	03/28/1977, 00:00:00	748-47-2931	(Decimal('-46.4881325'), Decimal('-74.631005'))	Black	Robert Elliott
100	F	B+	Health promotion specialist	"99540 Carol Stream
Ethanport, TN 53833"	1983/11/26	281-72-2080	(Decimal('69.7760595'), Decimal('14.443693'))	Black	Natalie Adkins
101	M	AB+	Hospital doctor	"4740 Jennifer Turnpike
West Williamburgh, WA 60675"	10/18/2005, 00:00:00	584-27-4042	(Decimal('-75.252244'), Decimal('-113.405099'))	Hawaiian	Taylor Williams
102	M	O-	Sales professional, IT	"9331 Karen Roads Suite 795
North Nicholastown, NY 77876"	08/25/1957, 00:00:00	337-14-2819	(Decimal('58.482446'), Decimal('-1.810169'))	Black	John Spencer
103	F	B+	Engineer, petroleum	"074 Simpson Rapid
Watsonton, LA 35065"	1927/03/06	779-40-0279	(Decimal('5.911752'), Decimal('173.768570'))	blsck	Kathy Lyons
104	M	A-	Producer, television/film/video	"632 Cruz Port
New Edward, MD 48775"	15 Sep 1968	773-94-7237	(Decimal('80.156449'), Decimal('115.398002'))	Black	Ralph Dillon
105	M	B+	Town planner	"PSC 4310, Box 7488
APO AE 87413"	1923/09/23	494-95-0086	(Decimal('19.4026595'), Decimal('-138.650361'))	White	Timothy Collins
106	F	O+	Contractor	"369 Weeks Crossroad
Youngborough, AZ 42438"	1906-02-10	062-17-8834	(Decimal('19.4540335'), Decimal('-2.901568'))	Black	Marie Hopkins
107	F	AB-	Horticultural therapist	"4335 Underwood Fields Suite 249
South Christopher, AZ 63534"	13 Jan 1937	182-09-2081	(Decimal('45.0312735'), Decimal('-10.089317'))	Black	Morgan Webb
108	M	A-	Loss adjuster, chartered	"6845 Courtney Run Apt. 775
Lake Thomasmouth, SD 80225"	26 Mar 1981	536-08-7180	(Decimal('-37.692865'), Decimal('-119.479760'))	Black	David Lowe
109	F	AB+	Teacher, music	"358 Horne Causeway Apt. 916
East Mistyport, WV 43507"	12/04/1932, 00:00:00	606-93-0843	(Decimal('-76.305153'), Decimal('-165.183670'))	White	Kelli Moran
110	F	AB+	Recycling officer	"PSC 1406, Box 2426
APO AE 27690"	12 Oct 1988	893-61-0710	(Decimal('82.396156'), Decimal('127.324081'))	White	Ashley Leach
111	M	O-	Osteopath	"508 Martinez Junctions Suite 541
Hannahtown, CA 76708"	1964-10-28	453-59-0004	(Decimal('-31.135791'), Decimal('-153.799552'))	White	Eric Gonzalez
112	M	A-	Microbiologist	"8144 Green Underpass
West Teresaburgh, ND 67551"	1928-09-17	050-59-4636	(Decimal('23.2649585'), Decimal('78.293236'))	Asian	James Gardner
113	M	O-	Buyer, retail	"86986 Nicole Forge Apt. 626
North Jamie, WI 95375"	1952/07/28	341-44-4752	(Decimal('50.249241'), Decimal('-83.929340'))	Black	Richard Lindsey
114	F	AB+	Customer service manager	"962 David Court Apt. 392
Port Jessicahaven, OK 31128"	10/12/1964, 00:00:00	026-33-7652	(Decimal('-51.9102395'), Decimal('122.316799'))	Indian	Mackenzie Quinn
115	F	AB+	Physicist, medical	"658 Miller Manors
Lake Barbara, NY 56601"	2006-09-19	858-98-8513	(Decimal('74.353155'), Decimal('68.103582'))	Hawaiian	Sonia Olson
116	F	AB-	Building services engineer	"57624 Bush Locks
South Jeremymouth, KY 41559"	1957/11/05	812-72-1521	(Decimal('75.6743815'), Decimal('-32.333003'))	White	Deanna Ray
117	M	A-	Secretary, company	"001 Stacy Plaza Suite 094
Patrickton, MS 73628"	1936/08/31	415-95-5526	(Decimal('-61.804444'), Decimal('-72.011172'))	White	Andrew Robertson
118	F	O+	Newspaper journalist	"0296 Veronica Turnpike Apt. 384
North Brentborough, NM 47362"	1942/12/19	446-65-2611	(Decimal('-31.746499'), Decimal('-98.415475'))	Black	Kelsey Fuentes
119	F	B-	Technical brewer	"91465 Smith Row
Port Shane, MT 70566"	27 Sep 1965	313-71-1305	(Decimal('-54.3831435'), Decimal('177.446397'))	Hawaiian	Laurie White
120	M	A-	Maintenance engineer	"3500 Brittany Crest
Lake Bryanborough, WV 86754"	12/05/1948, 00:00:00	628-52-9744	(Decimal('-12.210022'), Decimal('-14.597818'))	White	Ryan Smith
121	M	O-	Agricultural engineer	"043 Levine Mountains
Hollytown, TN 69378"	31 Jan 2012	521-55-7751	(Decimal('-49.8603355'), Decimal('-66.059212'))	Asian	Anthony Figueroa
122	F	B-	Fast food restaurant manager	"849 Hughes Roads
Wilsonburgh, TX 92682"	03/28/1971, 00:00:00	241-40-1579	(Decimal('-25.9715765'), Decimal('84.354576'))	White	Kelly Mckay
123	M	A-	Solicitor	"03049 Lynn Wells
Cohenland, WY 64948"	04 Jul 1981	346-61-2924	(Decimal('-78.434275'), Decimal('-143.144947'))	White	Michael Todd
124	M	O-	Oceanographer	"01381 Ana Glen
Lake Nicholasland, PA 21579"	1912/10/13	200-29-4885	(Decimal('-26.0760995'), Decimal('31.807729'))	White	Thomas Garcia
125	F	A+	Dance movement psychotherapist	"PSC 4173, Box 1813
APO AE 59233"	23 Feb 1950	558-82-8662	(Decimal('13.7338015'), Decimal('-73.801632'))	White	Madison Hart
126	F	O-	IT trainer	"59580 Leah Springs Suite 957
North Eric, WV 94660"	05/24/1939, 00:00:00	516-13-3437	(Decimal('86.9238785'), Decimal('110.974491'))	White	Crystal Rodriguez
127	M	O+	Restaurant manager	"7191 Natasha Haven Apt. 083
Woodsbury, ID 10644"	2016/04/26	661-37-6884	(Decimal('85.874431'), Decimal('157.808120'))	Black	Christopher Garcia
128	F	A-	Database administrator	"4156 April Crescent
Millerfort, AL 32560"	1973-04-10	087-92-2023	(Decimal('-15.103861'), Decimal('-19.972996'))	Indian	Laura Collins
129	M	B+	Surveyor, building	"0624 Moss Circle
Knightville, AZ 49344"	03 Oct 1999	172-98-9089	(Decimal('-55.648207'), Decimal('-87.851686'))	White	David Rodriguez
130	F	B-	Systems developer	"144 Randy Pine
West Lisa, KS 74445"	1985-04-08	683-33-7964	(Decimal('-67.992384'), Decimal('-159.831549'))	Black	Kylie Morales
131	M	B-	Toxicologist	"34876 Anthony Ports Apt. 867
East Troyhaven, OR 70261"	1999/06/09	757-58-7931	(Decimal('59.008655'), Decimal('148.512132'))	Asian	Anthony Wilson
132	F	A+	Engineer, biomedical	"287 Amy Parkway Suite 954
New Charles, DC 10604"	13 Feb 2012	278-49-8586	(Decimal('-55.990264'), Decimal('-52.247251'))	Asian	Kimberly Owen
133	F	O+	Nurse, children's	"1083 Wright Stravenue Apt. 936
Danielsmouth, WI 99406"	10/03/1930, 00:00:00	366-72-9314	(Decimal('54.5798635'), Decimal('-148.307644'))	Hawaiian	Andrea Morris
134	F	O-	Clinical biochemist	"070 Brandon Shore
West Robinfort, DE 93519"	01/17/1983, 00:00:00	548-16-5412	(Decimal('-5.874142'), Decimal('-101.144243'))	White	Shelia Peck
135	F	B+	Automotive engineer	"611 Clark Lock
Jonesfurt, ID 30006"	1992-07-03	293-95-0395	(Decimal('89.434373'), Decimal('13.729001'))	Black	Maureen Walters
136	M	B+	Education officer, environmental	"934 Hailey Junction Apt. 839
West Andrewport, LA 56439"	06/28/1915, 00:00:00	488-04-8107	(Decimal('48.675975'), Decimal('-163.522127'))	Black	Brandon Chase
137	F	O+	Retail manager	"63547 Scott Mount
South Ashley, NM 57367"	09/24/1998, 00:00:00	805-20-3558	(Decimal('-5.626853'), Decimal('-126.312545'))	Hawaiian	Norma Romero
138	F	A+	Teacher, early years/pre	"12797 Armstrong Bypass
Reeseside, VT 09807"	18 Aug 1920	574-75-7591	(Decimal('-39.7379325'), Decimal('179.911503'))	Asian	Renee Hudson
139	M	O+	Structural engineer	"511 Michael Dale
East Justinfurt, LA 83571"	1946-10-04	268-80-3965	(Decimal('75.3681185'), Decimal('-128.115268'))	White	Brian West
140	M	B-	Bookseller	"8009 John Springs
Whiteheadbury, MN 40712"	1978-10-06	456-31-5133	(Decimal('64.4482755'), Decimal('59.602199'))	White	Melvin Martinez
141	M	B+	Designer, blown glass/stained glass	"9116 Julie Field
Kleinbury, NC 19213"	08 Jul 1978	334-16-5567	(Decimal('-62.4221375'), Decimal('104.079604'))	Black	Todd Bailey
142	F	A-	Building control surveyor	"8392 Robert Terrace
Vegabury, IN 44182"	1926-06-18	593-04-5427	(Decimal('58.356997'), Decimal('-29.557475'))	Black	Veronica Schultz
143	F	B-	Minerals surveyor	"93339 Sharon Light
Josephton, CA 52144"	1923/03/31	010-79-0921	(Decimal('-56.906709'), Decimal('99.623084'))	Asian	Alexis Johnson MD
